Description,ncRNA Name,Disease,PMID,Labels
An overload of H19 transcript is associated with cells exhibiting higher tumorigenic phenotypes and therefore we conclude that the H19 gene has oncogenic properties in breast epithelial cells.,H19,breast cancer,12419837,1
The clinical relevance of this observation is demonstrated by the strong association between XIST RNA levels and disease-free periods of ovarian cancer patients in a group of 21 ovarian cancer cases with Taxol in the therapeutic regiments.,XIST,ovarian cancer,12492109,1
Our results demonstrate that full-length SRA-RNAs likely to encode stable proteins are widely expressed in breast cancer cell lines.,SRA,breast cancer,12565891,1
"LOI,deregulation of IGF2 promoters,and the altered expression levels of IGF2 and H19 genes might be associated with the progression of GTD.",H19//IGF2,GTD,12648595,1
Reduced expression of H19 in bone marrow cells from chronic myeloproliferative disorders.,H19,chronic myeloproliferative disorders,12682647,1
Tmevpg1 (IFNG-AS1) is another lncRNA that may be involved in MS.,IFNG-AS1,MS,12719555,1
Prostate tumors showed a 66-fold up-regulation of DD3(PCA3) (median 158.4.10(5) copies/microg tissue RNA) when compared to benign prostate tissue (median 2.4.10(5) copies/microg tissue RNA).,DD3,Prostate tumors ,12814669,1
This up-regulation was found in more than 95% of prostate cancer specimens studied.,DD3,prostate cancer,12814669,1
aHIF transcript expression was associated with poor disease-free survival in univariate (P = 0.0038) and multivariate (P = 0.0016) analysis in this series of high-risk primary breast carcinomas.,aHIF,breast carcinomas,14580258,1
High expression of precursor microRNA-155/BIC RNA in children with Burkitt lymphoma.,microRNA-155//BIC RNA,Burkitt lymphoma,14695998,1
"CASC2,in a region of common allelic loss at chromosome 10q26 is a novel candidate gene in human endometrial cancer.",CASC2,endometrial cancer,15024726,1
"As a result,we identified a novel gene,designated Chromosome 13 open reading frame 25 (C13orf25),which was overexpressed in B-cell lymphoma cell lineand diffuse large B-cell lymphoma patients with 13q31-q32 amplifications.",C13orf25,diffuse large B-cell lymphoma,15126345,1
Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.,let-7,lung cancers,15172979,1
Our results indicate that H19 expression in epithelial cells of endometrial hyperplasia and cancer merits further investigation and could be useful as a complementary histopathologic and prognostic marker among other modalities in endometrial cancer.,H19,endometrial cancer,15228427,1
We here report that BC200 RNA is expressed at high levels in invasive carcinomas of the breast.,BC200,invasive carcinomas of the breast,15240511,1
Measurement of lncRNA PCA3 in patient urine samples has been shown to allow more sensitive and specific diagnosis of prostate cancer than the widely used marker prostate-specific antigen (PSA).,PCA3,prostate cancer,15245811,1
P53 is frequently mutated in many cancers including human head and neck squamous cell carcinoma and pancreatic cancer.,P53,head and neck squamous cell carcinoma//pancreatic cancer,15293347,1
"SNPs in the promoter of a B cell-specific antisense transcript,SAS-ZFAT (ZFAT-AS1),determine susceptibility to autoimmune thyroid disease.",SAS-ZFAT,autoimmune thyroid disease,15294872,1
DISC2 is a likely susceptibility locus for both schizophrenia and affective disorders.,DISC2,schizophrenia//affective disorders,15478311,1
"Thus, miR-375 is a regulator of insulin secretion and may thereby constitute a novel pharmacological target for the treatment of diabetes.",miR-375,diabetes,15538371,1
The human H19 gene is frequently overexpressed in myometrium and stroma during pathological endometrial proliferative events.,H19,pathological endometrial proliferative,15618002,1
miR-15a and miR-16-1 are expressed at lower levels in pituitary adenomas as compared to normal pituitary tissue.,miR-15a//miR-16-1,pituitary adenomas,15648093,1
miR-15a and miR-16-1 down-regulation in pituitary adenomas.,miR-15a//miR-16-1,pituitary adenomas,15648093,1
G72/G30 (DAOA-AS1) are important candidate genes for explaining schizophrenia in the Han Chinese population.,G72//G30,schizophrenia,15653269,1
We found that imbalances in levels of IGF2 and H19 transcripts were correlated with advanced tumor stage and poor outcome in HCC patients.,IGF2//H19,HCC,15736456,1
"Clinical isolates of several types of B cell lymphomas, including diffuse large B cell lymphoma (DLBCL), have 10- to 30-fold higher copy numbers of miR-155 than do normal circulating b cells.",miR-155,B cell lymphomas,15738415,1
"We show that the microRNA miR-155 can be processed from sequences present in BIC RNA, a spliced and polyadenylated but non-protein-coding RNA that accumulates in lymphoma cells.",miR-155//BIC,lymphoma,15738415,1
PRINS is a psoriasis susceptibility-related noncoding RNA gene.,PRINS,psoriasis,15855153,1
Down-regulation of 7SL RNA expression and impairment of vesicular protein transport pathways by Leishmania infection of macrophages.,7SL,Leishmania infection of macrophages,15955815,1
This clearly supports the H19 oncogenic function in breast tumor genesis.,H19,breast tumor,15985428,1
"BIC and miR-155 are highly expressed in Hodgkin, primary mediastinal and diffuse large B cell lymphomas.",BIC//miR-155,Hodgkin//primary mediastinal//diffuse large B cell lymphomas,16041695,1
"In animal models,deregulation of the DSCR1 and DYRK1A genes act synergistically to prevent nuclear occupancy of NFATc transcription factors leading to reduced NFATc activity and to many features of DS,suggesting a potential link between NRON activity and DS pathophysiology.",DSCR1//DYRK1A//NRON,DS,16141075,1
The presence of both coding SRA rna and its corresponding srap modifies the activity of estrogen receptor in breast cancer cells and that SRAP could be a new clinical marker for breast cancer.,SRA,breast cancer,16152589,1
Lack of BIC and microRNA miR-155 expression in primary cases of Burkitt lymphoma.,BIC//miR-155,Burkitt lymphoma,16235244,1
"Both miR-18 and miR-17-3p showed overexpression with patterns quite similar to those of miR-20 and miR-19a, indicating overexpression of the miR-17-92 cluster in lung cancer cell lines",miR-18//miR-17-3p//miR-20//miR-19a//miR-17-92,lung cancer,16266980,1
We detected the metastasis-associated lung adenocarcinoma transcript 1 (MALAT-1) gene as one of the major genes upregulated in ESS.,MALAT-1,ESS,16441420,1
The results of this study indicate potential utility of the hTERT mRNA and DD3 mRNA as diagnostic but not prognostic biomarkers for PCa.,hTERT//DD3,PCa,16515751,1
A genetic screen implicates miRNA-372 and miRNA-373 as oncogenes in testicular germ cell tumors.,miRNA-372//miRNA-373,testicular germ cell tumors,16564011,1
"MiR-21, miR-141, and miR-200b were highly over-expressed in malignant cholangiocytes.",miR-21//miR-141//miR-200b,malignant cholangiocytes,16762633,1
Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,microRNA-451,breast cancer,16762633,1
miR-181 expression is decreased inTPA-induced differentiation of human promyelocytic leukemia cells.,miR-181,promyelocytic leukemia,16847880,1
"The analysis by several bioinformatics algorithms of colorectal tumours and adjacent non-neoplastic tissues from patients and colorectal cancer cell lines allowed identifying a group of 13 miRNA whose expression is significantly altered in this tumor. The most significantly deregulated miRNA being miR-31, miR-96, miR-133b, miR-135b, miR-145, and miR-183.",miR-31//miR-96//miR-133b//miR-135b//miR-145//miR-183,colorectal tumours,16854228,1
UCA1 is a very sensitive and specific unique marker for bladder cancer.,UCA1,bladder cancer,16914571,1
miR-204 is primarily expressed in insulinomas and correlates with immunohistochemical expression of insulin.,miR-204,insulinomas,16966691,1
"Later on, deletion of mir-16-1 and mir-15a deletion were also identified in epithelial tumors, such as pituitary adenomas, ovarian and breast cancer.",mir-16-1//mir-15a,pituitary adenomas//ovarian cancer//breast cancer,17012848,1
"mir-21 upregulated in glioblastoma and associated with antiapoptosis upregulated in breast cancer (Iorio et al., 2005), and in a signature for solid cancers (Volinia et al., 2006).",mir-21,breast cancer//glioblastoma,17028596,1
Upregulated mir-221/222 in papillary thyroid cancer,miR-221/222,papillary thyroid cancer,17028596,1
These data demonstrate that OncomiR-1 accelerates lymphoma and promotes a more disseminated disease.,OncomiR-1,lymphoma,17093929,1
"miR-23a, miR-23b, miR-24, miR-195, and miR-214, all of which were up-regulated during cardiac hypertrophy, appeared to be capable of inducing hypertrophic growth in vitro.",miR-23a//miR-23b//miR-24//miR-195//miR-214,cardiac hypertrophy,17108080,1
"We recently demonstrated that a polycistronic cluster of miRNAs, miR-17-92, is oncogenic in a mouse model for Burkitt's lymphoma.",miR-17-92,Burkitt's lymphoma,17135268,1
"This region encodes miRNA-199a-1 (19p13.2), whose expression levels are lower in HCC compared to nontumor liver [59] and is deleted in several other tumor types.",miRNA-199a-1,HCC,17188425,1
P53 variant mrnas are expressed in both normal oral stratified epithelium and SCCHN.,P53,SCCHN,17215121,1
"Nevertheless,these results demonstrate a highly specific up-regulation of HULC RNA expression levels in HCC",HULC,HCC,17241883,1
MicroRNA-34a functions as a potential tumor suppressor by inducing apoptosis in neuroblastoma cells.,MicroRNA-34a,neuroblastoma,17297439,1
The micro-ribonucleic acid (miRNA) miR-206 targets the human estrogen receptor-alpha (ERalpha) and represses ERalpha messenger RNA and protein expression in breast cancer cell lines.,miR-206,breast cancer,17312270,1
"Both approaches show that miR-21 and miR-155 are dramatically overexpressed in patients with CLL, although the corresponding genomic loci are not amplified.",miR-21//miR-155,CLL,17327404,1
miR-150 and miR-92 are also significantly deregulated in patients with CLL.,miR-150//miR-92,CLL,17327404,1
"Human miR-127 is embedded in a CpG island and is silenced in several human cancers including bladder, prostate and colon cancer and has been suggested to play a role as a possible tumour suppressor gene.",miR-127,bladder cancer//prostate cancer//colon cancer,17355635,1
These include miR-200b and miR-141 which have been shown to be highly overexpressed in malignant cholangiocytes and in colon carcinoma.,miR-200b//miR-141,cholangiocarcinoma//colon carcinoma,17355635,1
The high specificity and informative rate suggest that the PCA3 assay could have an important role in prostate cancer diagnosis.,PCA3,prostate cancer,17382159,1
"Identification of PVT1 (rs2720709,A>G) as a candidate gene for end-stage renal disease in type 2 diabetes using a pooling-based genome-wide single nucleotide polymorphism association study.",PVT1,end-stage renal disease,17395743,1
These data strongly indicate that miR-1 is an arrhythmogenic or proarrhythmic factor that is detrimental to the ischemic heart.,miR-1,arrhythmogenic,17401374,1
Delivery of miR-1 into healthy hearts was also arrhythmogenic.,miR-1,arrhythmogenic,17401374,1
The mir-17 cluster is also overexpressed in human lung cancer.,mir-17,lung cancer,17442096,1
"A mutation in the 3'UTR of the SLITRK1 gene which is associated with Tourette's syndrome was found to enhance repression of the SLITRK mRNA by miR-189, presumably preventing SLITRK1's promotion of dendritic growth.",SLITRK1//miR-189,Tourette's syndrome,17462786,1
"DLBCL cases over-expressed miR-21, miR-155 and miR-221 by an average of 9.3, 4.6 and 2.3-fold respectively compared to normal peripheral blood B cells.",miR-21//miR-155//miR-221,DLBCl,17487835,1
Ectopically raising miR-21 expression in myeloma cells in the absence of IL-6 significantly reduced their apoptosis levels.,miR-21,myeloma,17496199,1
PVT1 is frequently involved in the translocations occurring in variant Burkitt's lymphomas and murine plasmacytomas.,PVT1,Burkitt's lymphomas//plasmacytomas,17503467,1
miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.,miR-124//miR-137,glioblastoma multiforme,17525252,1
Modulating miR-21 expression via antisense-mediated depletion (knockdown) had a significant negative effect on cardiomyocyte hypertrophy.,miR-21,cardiomyocyte hypertrophy,17525252,1
"The loss-of-function of miR-15a and miR-16-1 in CLL, and perhaps other cancers as well, may contribute to malignant transformation by upregulating Bcl2 thereby preventing apoptosis.",miR-15a//miR-16-1,CLL,17531469,1
"MiR-21 is found to be highly expressed in numerous cancers like breast cancer, and glioblastoma and pancreatic cancer.",MiR-21,breast cancer//glioblastoma//pancreatic cancer,17531469,1
"Recently Meng et al. showed that miR-21 is also overexpressed in malignant cholangiocarcinomas, a highly chemoresistant cancer type, knockdown of miR-21 sensitised cholangiocarcinoma cell lines for treatment with gemcitabin, whereas transfection of non-malignant cholangiocytes with precursor miR-21 made cells more resistant to gemcitabin.",miR-21,malignant cholangiocarcinomas,17531469,1
Characterized mechanism of alpha-mangostin-induced cell death: caspase-independent apoptosis with release of endonuclease-G from mitochondria and increased miR-143 expression in human colorectal cancer DLD-1 cells.,miR-143,colorectal cancer,17553685,1
"BC200 RNA was significantly up-regulated in AD brains,in comparison with age-matched normal brains.",BC200,AD,17553964,1
miR-221 and miR-222 expression affects the proliferation potential of human prostate carcinoma cell lines by targeting p27Kip1.,miR-221//miR-222//p27Kip1,prostate carcinoma,17569667,1
"The c13orf25/miR-17 cluster, which is responsible for 13q31-q32 amplification in malignant lymphoma, contains the microRNA-17-18-19-20-92 polycistron.",c13orf25//miR-17,malignant lymphoma,17608773,1
MicroRNA-497 is a potential prognostic marker in human cervical cancer and functions as a tumor suppressor by targeting the insulin-like growth factor 1 receptor,MicroRNA-497,cervical cancer,17616669,1
miR-21 was significantly up-regulated both psoriasis (p<0.001) and atopic eczema (p<0.001) as compared with healthy skin.,miR-21,psoriasis//atopic eczema,17622355,1
"Interestingly, high levels of miR-221&222 appear in glioblastomas and correlate with low levels of p27(Kip1) protein.",miR-221&222,glioblastomas,17627278,1
"Overexpression of micro ribonucleic acid 29, highly up-regulated in diabetic rats, leads to insulin resistance in 3T3-L1 adipocytes.",miR-29,diabetic,17652184,1
"Since hsa-miR-155 is on chromosome 21, we hypothesize that the observed lower blood pressure in trisomy 21 is partially caused by the overexpression of hsa-miR-155 leading to allele-specific underexpression of AGTR1.",hsa-miR-155//AGTR1,lower blood pressure,17668390,1
The published literature dealing with these two faces of the sra gene products and underscores the relevance of this bifaceted system to breast cancer development.,sra,breast cancer,17710122,1
Regulation of p27Kip1 by miRNA 221/222 in glioblastoma.,p27Kip1//miRNA 221//miRNA 222,glioblastoma,17721077,1
"Hypoxia upregulates the level of H19 RNA. Ablations of tumorigenicity of HCC and bladder carcinomas in vivo are seen by H19 knockdown which also significantly abrogates anchorage-independent growth after hypoxia recovery,while ectopic H19 expression enhances tumorigenic potential of carcinoma cells in vivo.",H19,HCC//bladder carcinomas,17786216,1
These results suggest an active role for miR-133 in the inhibition of cardiac hypertrophy.,miR-133,cardiac hypertrophy,17786230,1
These data strongly indicate that miR-1 is an arrhythmogenic or proarrhythmic factor that is detrimental to the ischemic heart.,miR-1,arrhythmogenic,17786230,1
Delivery of miR-1 into healthy hearts was also arrhythmogenic.,miR-1,arrhythmogenic,17786230,1
"Importantly, miR-34b and miR-34c cooperate in suppressing proliferation and soft-agar colony formation of neoplastic epithelial ovarian cells, in agreement with the partially overlapping spectrum of their predicted targets.",miR-34b//miR-34c,neoplastic epithelial ovarian,17823410,1
"Human micro-RNAs miR-223, miR-26b, miR-221, miR-103-1, miR-185, miR-23b, miR-203, miR-17-5p, miR-23a, and miR-205 were significantly up-regulated in bladder cancers (P < 0.05) compared to normal bladder mucosa.",miR-223//miR-26b//miR-221//miR-103-1//miR-185//miR-23b//miR-203//miR-17-5p//miR-23a//miR-205,bladder cancer,17826655,1
Micro RNA 145 targets the insulin receptor substrate-1 and inhibits the growth of colon cancer cells.,Micro RNA 145,colon cancer,17827156,1
"Previously, we identified HLA-G as an asthma-susceptibility gene and discovered that the risk of asthma in a child was determined by both the child's HLA-G genotype and the mother's affection status. The activity of pluc-HLAG-G in the presence of each of the three miRNAs was significantly lower than those of pluc-HLAG-C and pluc-HLA-G-Del.",HLA-G,asthma,17847008,1
Tumor-suppressive miR-34a induces senescence-like growth arrest through modulation of the E2F pathway in human colon cancer cells.,miR-34a,colon cancer,17875987,1
"mir-29 family (29a,b,c) reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.",mir-29a//mir-29b//mir-29c,lung cancer,17890317,1
down-regulated of microRNAs-143 and -145 in B-cell malignancies.,microRNAs-143//microRNAs-145,B-cell malignancies,17892514,1
Tumour invasion and metastasis initiated by microRNA-10b in breast cancer.,microRNA-10b,breast cancer,17898713,1
MicroRNA-21 knockdown disrupts glioma growth in vivo and displays synergistic cytotoxicity with neural precursor cell delivered S-TRAIL in human gliomas.,MicroRNA-21,gliomas,17908999,1
Our results reveal the efficacy of miR-21 antagonism in murine glioma models and implicate miR-21 as a target for therapeutic intervention.,miR-21,glioma,17908999,1
"Tumor protein 53-induced nuclear protein 1 expression is repressed by miR-155, and its restoration inhibits pancreatic tumor development.",miR-155,pancreatic tumor,17911264,1
"The disruption of the DISC genomic locus,which encodes both the DISC1 protein-coding gene and the DISC2 lncRNA,has been linked in a number of genetic analysis to the risk of developing schizophrenia,schizophrenia,bipolar disorder,major depression,and autistic spectrum disorders.",DISC1//DISC2,schizophrenia//bipolar disorder//major depression//autistic spectrum disorders,17912248,1
"In most Wilms' tumors,all WT1-AS spliceoforms were overexpressed relative to normal kidney and at comparable levels to fetal kidney.",WT1-AS,Wilms' tumors,17940140,1
MicroRNA let-7a down-regulates MYC and reverts MYC-induced growth in Burkitt lymphoma cells.,let-7a//MYC,Burkitt lymphoma,17942906,1
MYCN regulates oncogenic MicroRNAs in neuroblastoma.,MYCN,neuroblastoma,17943719,1
Detection of let-7a microRNA by real-time PCR in colorectal cancer: a single-centre experience from China.,let-7a,colorectal cancer,17944059,1
"The overexpression of miR-21 was recognized in malignant brain tumours, and knockdown of this miRNA in cultured glioblastoma cells resulted in caspase activation and apoptosis.",miR-21,malignant brain tumours,17965831,1
"MicroRNA-21 (miR-21) post-transcriptionally downregulates tumor suppressor Pdcd4 and stimulates invasion, intravasation and metastasis in colorectal cancer.",MicroRNA-21//Pdcd4,colorectal cancer,17968323,1
spine morphology in patients with Fragile-X mental retardation syndrome (FXS) is not dissimilar from the spine structure observed on miR-134 overexpression or in neurons deficient for the miR-134 target Limk1.,miR-134,Fragile-X mental retardation syndrome,17982590,1
We also show that LAMB3 expression is increased in the presence of the HPV-16 E6 oncogene and this effect is mediated through miR-218. These findings may contribute to a better understanding of the molecular mechanisms involved in cervical carcinogenesis.,HPV-16//LAMB3//miR-218,cervical carcinogenesis,17998940,1
The oncogenic microRNA-27a targets genes that regulate specificity protein transcription factors and the G2-M checkpoint in MDA-MB-231 breast cancer cells.,microRNA-27a,breast cancer,18006846,1
An androgen-regulated miRNA suppresses Bak1 expression and induces androgen-independent growth of prostate cancer cells.,Bak1,prostate cancer,18056640,1
"Among them, miR-128a and -128b are significantly overexpressed, whereas let-7b and miR-223 are significantly down-regulated in ALL compared with AML.",miR-128a//miR-128b,ALL,18056805,1
"Among them, miR-128a and -128b are significantly overexpressed, whereas let-7b and miR-223 are significantly down-regulated in ALL compared with AML.",let-7b//miR-223,ALL,18056805,1
"mir-29a, mir-124a, mir-132 and mir-330 could be detected,Comparison of human WT and HD individuals shows that significant differences in miRNA levels exist: mir-132 levels were significantly lower in the HD samples, indicating that this miRNA is down-regulated in HD.",mir-132,HD,18082412,1
"In contrast, mir-29a and mir-330 were significantly higher in HD samples.",mir-29a//mir-330,HD,18082412,1
Loss of mir-146a function in hormone-refractory prostate cancer.,mir-146a,hormone-refractory prostate cancer,18174313,1
"Ectopic expression of miR-126*, an intronic product of the vascular endothelial EGF-like 7 gene, regulates prostein translation and invasiveness of prostate cancer LNCaP cells.",miR-126*,prostate cancer,18193184,1
"Altered expression of miR-21, miR-31, miR-143 and miR-145 is related to clinicopathologic features of colorectal cancer.",miR-21//miR-31//miR-143//miR-145,colorectal cancer,18196926,1
"Here, we show that several miRNAs are altered in human ovarian cancer, with the most significantly deregulated miRNAs being miR-214, miR-199a*, miR-200a, miR-100, miR-125b, and let-7 cluster.",miR-214//miR-199a*//miR-200a//miR-100//miR-125b//let-7,ovarian cancer,18199536,1
down-regulated of miR-138 is associated with overexpression of human telomerase reverse transcriptase protein in human anaplastic thyroid carcinoma cell lines.,miR-138,human anaplastic thyroid carcinoma,18201269,1
The expression of microRNA miR-107 decreases early in Alzheimer's disease and may accelerate disease progression through regulation of beta-site amyloid precursor protein-cleaving enzyme 1.,miR-107,Alzheimer's disease,18234899,1
Variation in the miRNA-433 binding site of FGF20 confers risk for Parkinson disease by overexpression of alpha-synuclein.,miRNA-433//FGF20,Parkinson disease,18252210,1
"Of these, miR rno-mir-290, rno-mir-292, rno-mir-5p, rno-mir-327,and rno-mir-494 were identified as the highly expressed miRNAs in the ischemic brain.",rno-mir-290//rno-mir-292//rno-mir-5p//rno-mir-327//rno-mir-494,ischemic brain,18258830,1
Epigenetic silencing of the intronic microRNA hsa-miR-342 and its host gene EVL in colorectal cancer.,hsa-miR-342,colorectal cancer,18264139,1
hsa-miR-210 Is induced by hypoxia and is an independent prognostic factor in breast cancer.,hsa-miR-210,breast cancer,18316553,1
MicroRNA-137 targets microphthalmia-associated transcription factor in melanoma cell lines.,MicroRNA-137,melanoma,18316599,1
Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.,microRNA-224,hepatocellular carcinoma,18319255,1
MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.,let-7b,melanoma,18379589,1
This study provides the first description of increased expression of miRNA miR-155 and miR-146a in RA.,miR-155//miR-146a,RA,18383392,1
"MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.",MicroRNA 29c,nasopharynx carcinomas,18390668,1
"We confirm that the presence of the ALT phenotype is associated with poor prognosis and in addition, for the first time, we show a direct association between hTR expression and poor prognosis in liposarcoma patients.",hTR,liposarcoma,18414473,1
Oncogenic role of miR-17-92 cluster in anaplastic thyroid cancer cells.,miR-17-92 cluster,anaplastic thyroid cancer,18429962,1
"miR-96 was overexpressed in HBV tumors, and miR-126* was down-regulated in alcohol-related hepatocellular carcinoma.",miR-96,HBV tumors,18433021,1
"miR-96 was overexpressed in HBV tumors, and miR-126* was down-regulated in alcohol-related hepatocellular carcinoma.",miR-126*,alcohol-related hepatocellular carcinoma,18433021,1
This study shows that miR-146 is expressed in RA synovial tissue and that its expression is induced by stimulation with TNFalpha and IL-1beta.,miR-146,RA,18438844,1
miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.,miR-15b//miR-16,gastric cancer,18449891,1
Overexpression of miR-184 might play an oncogenic role in the antiapoptotic and proliferative processes of tongue SCC.,miR-184,tongue SCC,18451220,1
